run_id,frame,time_ps,combined_frame_index,n_contact_pairs
RUN1,100,4.888821,0,14
RUN1,110,5.3777031,1,12
RUN1,120,5.8665852,2,16
RUN1,130,6.3554673,3,14
RUN1,140,6.8443494000000005,4,13
RUN1,150,7.3332315,5,15
RUN1,160,7.8221136,6,8
RUN1,170,8.3109957,7,11
RUN1,180,8.7998778,8,13
RUN1,190,9.2887599,9,9
RUN1,200,9.777642,10,13
RUN1,210,10.2665241,11,10
RUN1,220,10.7554062,12,13
RUN1,230,11.244288300000001,13,9
RUN1,240,11.7331704,14,16
RUN1,250,12.2220525,15,14
RUN1,260,12.7109346,16,15
RUN1,270,13.1998167,17,13
RUN1,280,13.688698800000001,18,16
RUN1,290,14.1775809,19,20
RUN1,300,14.666463,20,15
RUN1,310,15.1553451,21,18
RUN1,320,15.6442272,22,18
RUN1,330,16.1331093,23,15
RUN1,340,16.6219914,24,13
RUN1,350,17.1108735,25,14
RUN1,360,17.5997556,26,15
RUN1,370,18.0886377,27,14
RUN1,380,18.5775198,28,17
RUN1,390,19.0664019,29,15
RUN1,400,19.555284,30,12
RUN1,410,20.0441661,31,13
RUN1,420,20.5330482,32,13
RUN1,430,21.0219303,33,17
RUN1,440,21.5108124,34,15
RUN1,450,21.9996945,35,14
RUN1,460,22.488576600000002,36,13
RUN1,470,22.9774587,37,13
RUN1,480,23.4663408,38,15
RUN1,490,23.9552229,39,16
RUN1,500,24.444105,40,17
RUN1,510,24.932987100000002,41,13
RUN1,520,25.4218692,42,15
RUN1,530,25.9107513,43,14
RUN1,540,26.3996334,44,13
RUN1,550,26.8885155,45,20
RUN1,560,27.377397600000002,46,15
RUN1,570,27.8662797,47,19
RUN1,580,28.3551618,48,15
RUN1,590,28.8440439,49,12
RUN1,600,29.332926,50,14
RUN1,610,29.821808100000002,51,8
RUN1,620,30.3106902,52,9
RUN1,630,30.7995723,53,6
RUN1,640,31.2884544,54,5
RUN1,650,31.7773365,55,5
RUN1,660,32.2662186,56,8
RUN1,670,32.7551007,57,6
RUN1,680,33.2439828,58,6
RUN1,690,33.7328649,59,6
RUN1,700,34.221747,60,8
RUN1,710,34.7106291,61,12
RUN1,720,35.1995112,62,13
RUN1,730,35.6883933,63,14
RUN1,740,36.1772754,64,13
RUN1,750,36.666157500000004,65,10
RUN1,760,37.1550396,66,11
RUN1,770,37.6439217,67,10
RUN1,780,38.1328038,68,8
RUN1,790,38.6216859,69,9
RUN1,800,39.110568,70,8
RUN1,810,39.5994501,71,12
RUN1,820,40.0883322,72,9
RUN1,830,40.5772143,73,11
RUN1,840,41.0660964,74,11
RUN1,850,41.554978500000004,75,11
RUN1,860,42.0438606,76,13
RUN1,870,42.5327427,77,9
RUN1,880,43.0216248,78,9
RUN1,890,43.5105069,79,12
RUN1,900,43.999389,80,9
RUN1,910,44.4882711,81,11
RUN1,920,44.977153200000004,82,11
RUN1,930,45.4660353,83,10
RUN1,940,45.9549174,84,11
RUN1,950,46.443799500000004,85,13
RUN1,960,46.9326816,86,13
RUN1,970,47.4215637,87,11
RUN1,980,47.9104458,88,13
RUN1,990,48.3993279,89,9
RUN1,1000,48.88821,90,11
RUN1,1010,49.3770921,91,12
RUN1,1020,49.865974200000004,92,16
RUN1,1030,50.3548563,93,11
RUN1,1040,50.8437384,94,13
RUN1,1050,51.332620500000004,95,11
RUN1,1060,51.8215026,96,11
RUN1,1070,52.3103847,97,19
RUN1,1080,52.7992668,98,16
RUN1,1090,53.2881489,99,13
RUN2,100,4.888821,100,18
RUN2,110,5.3777031,101,20
RUN2,120,5.8665852,102,20
RUN2,130,6.3554673,103,22
RUN2,140,6.8443494000000005,104,18
RUN2,150,7.3332315,105,24
RUN2,160,7.8221136,106,20
RUN2,170,8.3109957,107,26
RUN2,180,8.7998778,108,23
RUN2,190,9.2887599,109,21
RUN2,200,9.777642,110,23
RUN2,210,10.2665241,111,17
RUN2,220,10.7554062,112,19
RUN2,230,11.244288300000001,113,20
