run_id,frame,time_ps,combined_frame_index,n_salt_bridge_atom_pairs,n_salt_bridge_residue_pairs
RUN2,730,35.6883933,163,4,3
RUN2,740,36.1772754,164,2,2
RUN2,750,36.666157500000004,165,3,2
RUN2,760,37.1550396,166,3,3
RUN2,770,37.6439217,167,2,2
RUN2,780,38.1328038,168,3,3
RUN2,790,38.6216859,169,3,3
RUN2,800,39.110568,170,4,4
RUN2,810,39.5994501,171,3,3
RUN2,820,40.0883322,172,3,3
RUN2,830,40.5772143,173,3,3
RUN2,840,41.0660964,174,3,3
RUN2,850,41.554978500000004,175,3,3
RUN2,860,42.0438606,176,3,3
RUN2,870,42.5327427,177,4,4
RUN2,880,43.0216248,178,2,2
RUN2,890,43.5105069,179,2,2
RUN2,900,43.999389,180,2,2
RUN2,910,44.4882711,181,3,3
RUN2,920,44.977153200000004,182,2,2
RUN2,930,45.4660353,183,2,2
RUN2,940,45.9549174,184,3,3
RUN2,950,46.443799500000004,185,2,2
RUN2,960,46.9326816,186,1,1
RUN2,970,47.4215637,187,1,1
RUN2,980,47.9104458,188,1,1
RUN2,990,48.3993279,189,1,1
RUN2,1000,48.88821,190,1,1
RUN2,1010,49.3770921,191,2,2
RUN2,1020,49.865974200000004,192,0,0
RUN2,1030,50.3548563,193,1,1
RUN2,1040,50.8437384,194,1,1
RUN2,1050,51.332620500000004,195,1,1
RUN2,1060,51.8215026,196,2,2
RUN2,1070,52.3103847,197,2,2
RUN2,1080,52.7992668,198,2,2
RUN2,1090,53.2881489,199,2,2
RUN3,100,4.888821,200,6,5
RUN3,110,5.3777031,201,7,5
RUN3,120,5.8665852,202,5,4
RUN3,130,6.3554673,203,6,5
RUN3,140,6.8443494000000005,204,5,4
RUN3,150,7.3332315,205,5,5
RUN3,160,7.8221136,206,4,4
RUN3,170,8.3109957,207,6,5
RUN3,180,8.7998778,208,5,5
RUN3,190,9.2887599,209,5,4
RUN3,200,9.777642,210,4,4
RUN3,210,10.2665241,211,5,4
RUN3,220,10.7554062,212,7,6
RUN3,230,11.244288300000001,213,7,5
RUN3,240,11.7331704,214,4,3
RUN3,250,12.2220525,215,5,3
RUN3,260,12.7109346,216,5,4
RUN3,270,13.1998167,217,6,5
RUN3,280,13.688698800000001,218,4,3
RUN3,290,14.1775809,219,4,4
RUN3,300,14.666463,220,6,5
RUN3,310,15.1553451,221,8,5
RUN3,320,15.6442272,222,6,6
RUN3,330,16.1331093,223,8,6
RUN3,340,16.6219914,224,7,6
RUN3,350,17.1108735,225,5,4
RUN3,360,17.5997556,226,4,4
RUN3,370,18.0886377,227,6,5
RUN3,380,18.5775198,228,4,4
RUN3,390,19.0664019,229,6,6
RUN3,400,19.555284,230,4,4
RUN3,410,20.0441661,231,5,5
RUN3,420,20.5330482,232,3,3
RUN3,430,21.0219303,233,6,6
RUN3,440,21.5108124,234,7,6
RUN3,450,21.9996945,235,4,4
RUN3,460,22.488576600000002,236,7,6
RUN3,470,22.9774587,237,5,5
RUN3,480,23.4663408,238,4,4
RUN3,490,23.9552229,239,6,5
RUN3,500,24.444105,240,5,5
RUN3,510,24.932987100000002,241,6,6
RUN3,520,25.4218692,242,6,6
RUN3,530,25.9107513,243,4,4
RUN3,540,26.3996334,244,6,5
RUN3,550,26.8885155,245,4,4
RUN3,560,27.377397600000002,246,5,5
RUN3,570,27.8662797,247,7,6
RUN3,580,28.3551618,248,5,5
RUN3,590,28.8440439,249,6,6
RUN3,600,29.332926,250,4,4
RUN3,610,29.821808100000002,251,4,4
RUN3,620,30.3106902,252,7,6
RUN3,630,30.7995723,253,5,5
RUN3,640,31.2884544,254,5,4
RUN3,650,31.7773365,255,6,5
RUN3,660,32.2662186,256,5,5
RUN3,670,32.7551007,257,4,4
RUN3,680,33.2439828,258,4,4
RUN3,690,33.7328649,259,3,3
RUN3,700,34.221747,260,6,4
RUN3,710,34.7106291,261,4,4
RUN3,720,35.1995112,262,3,3
RUN3,730,35.6883933,263,5,5
RUN3,740,36.1772754,264,4,4
RUN3,750,36.666157500000004,265,5,5
RUN3,760,37.1550396,266,4,4
RUN3,770,37.6439217,267,5,5
RUN3,780,38.1328038,268,3,3
RUN3,790,38.6216859,269,4,3
RUN3,800,39.110568,270,3,3
RUN3,810,39.5994501,271,3,3
RUN3,820,40.0883322,272,4,4
RUN3,830,40.5772143,273,5,4
